Year,Region,Region code,Country,Country Code,Data categories,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Machine readable,Non-proprietary,Download options,Metadata available,Terms of use,Overall score
2022,"Eastern Africa","AFE","Djibouti","DJI","Health facilities",0.5,0.5,0.5,0.5,0,0,1,0,0.5,0,3.5
2022,"Eastern Africa","AFE","Djibouti","DJI","Health outcomes",0.5,0.5,0.5,0.5,0,0,1,0.5,0.5,0,4
2022,"Eastern Africa","AFE","Djibouti","DJI","Reproductive health",0.5,0,0,0.5,0,0.5,1,0.5,0.5,0,3.5
2022,"Eastern Africa","AFE","Djibouti","DJI","Food security & nutrition",0.5,0,0,0,-,0,1,0.5,0.5,0,3
2022,"Eastern Africa","AFE","Djibouti","DJI","Gender statistics",0,0,0,0,0,1,1,1,0.5,0,3.5
2022,"Eastern Africa","AFE","Djibouti","DJI","Crime & justice",0,0,0,0,0,0,1,0,0.5,0,1.5
2022,"Eastern Africa","AFE","Djibouti","DJI","Poverty & income",0,0,0,0,0,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Djibouti","DJI","National accounts",0.5,0.5,0.5,0,-,0,1,0.5,0.5,0,3.5
2022,"Eastern Africa","AFE","Djibouti","DJI","Labor",1,0.5,0,0,0,0,1,0.5,0.5,0,3.5
2022,"Eastern Africa","AFE","Djibouti","DJI","Price indexes",0.5,0.5,0.5,0,-,1,1,0.5,0.5,0,4.5
2022,"Eastern Africa","AFE","Djibouti","DJI","Government finance",1,1,1,0,-,0,1,0,0.5,0,5
2022,"Eastern Africa","AFE","Djibouti","DJI","Money & banking",0.5,0.5,0.5,-,-,0,1,0,0.5,0,3
2022,"Eastern Africa","AFE","Djibouti","DJI","International trade",0.5,0.5,0.5,-,-,0,1,0,0.5,0,3
2022,"Eastern Africa","AFE","Djibouti","DJI","Balance of payments",1,1,1,-,-,0,1,0,0.5,0,5.5
2022,"Eastern Africa","AFE","Djibouti","DJI","Agriculture and land use",0,0,0,0,0,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Djibouti","DJI","Resource use",0.5,0.5,0.5,0.5,-,0,1,0,0.5,0,4
2022,"Eastern Africa","AFE","Djibouti","DJI","Energy",0,0,0,-,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Djibouti","DJI","Pollution",0,0,0,0,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Djibouti","DJI","Built environment",1,0.5,0.5,1,0,0,1,0,0.5,0,4.5
2022,"Eastern Africa","AFE","Djibouti","DJI","All Categories",10,8,7.5,3.5,2,2.5,18,4.5,9,0,65
2022,"Eastern Africa","AFE","Ethiopia","ETH","Population & vital statistics",0.5,0.5,0.5,0.5,0.5,0,1,0,0.5,0,4
2022,"Eastern Africa","AFE","Ethiopia","ETH","Education facilities",0.5,0.5,0.5,0,0,1,1,1,0,0,4.5
2022,"Eastern Africa","AFE","Ethiopia","ETH","Education outcomes",0.5,0.5,0.5,0,0,1,1,0.5,0,0,4
2022,"Eastern Africa","AFE","Ethiopia","ETH","Health facilities",0.5,0.5,0.5,0.5,0,1,1,1,0,0,5
2022,"Eastern Africa","AFE","Ethiopia","ETH","Health outcomes",0.5,0,0,0.5,0,0,1,0.5,0.5,0,3
2022,"Eastern Africa","AFE","Ethiopia","ETH","Reproductive health",0.5,0,0,0.5,0,0.5,1,0.5,0.5,0,3.5
2022,"Eastern Africa","AFE","Ethiopia","ETH","Food security & nutrition",1,0,0,0.5,-,0,1,0.5,0.5,0,4
2022,"Eastern Africa","AFE","Ethiopia","ETH","Gender statistics",0.5,0.5,0.5,0,0,0.5,1,0.5,0.5,0,4
2022,"Eastern Africa","AFE","Ethiopia","ETH","Crime & justice",1,0.5,0.5,0.5,0,1,1,1,0,0,5.5
2022,"Eastern Africa","AFE","Ethiopia","ETH","Poverty & income",1,0,0,1,0,0.5,1,0.5,0.5,0,4.5
2022,"Eastern Africa","AFE","Ethiopia","ETH","National accounts",0.5,0.5,0.5,0,-,1,1,1,1,0,6
2022,"Eastern Africa","AFE","Ethiopia","ETH","Labor",1,0.5,0.5,1,1,0,1,0,0.5,0,5.5
2022,"Eastern Africa","AFE","Ethiopia","ETH","Price indexes",0.5,0.5,0.5,0.5,-,0.5,1,0,0.5,0,4
2022,"Eastern Africa","AFE","Ethiopia","ETH","Government finance",1,0.5,0.5,0,-,1,1,0.5,0,0,5
2022,"Eastern Africa","AFE","Ethiopia","ETH","Money & banking",0.5,0.5,0.5,-,-,1,1,0.5,0,0,4
2022,"Eastern Africa","AFE","Ethiopia","ETH","International trade",1,0.5,0.5,-,-,1,1,1,1,0,7
2022,"Eastern Africa","AFE","Ethiopia","ETH","Balance of payments",0.5,0.5,0.5,-,-,1,1,1,0,0,4.5
2022,"Eastern Africa","AFE","Ethiopia","ETH","Agriculture and land use",0.5,0.5,0.5,0.5,0.5,0,1,0,0.5,0,4
2022,"Eastern Africa","AFE","Ethiopia","ETH","Resource use",0.5,0.5,0.5,0,-,1,1,1,0,0,5
2022,"Eastern Africa","AFE","Ethiopia","ETH","Energy",0,0,0,-,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Ethiopia","ETH","Pollution",0,0,0,0,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Ethiopia","ETH","Built environment",1,0,0,0,0,0,1,0.5,0.5,0,3
2022,"Eastern Africa","AFE","Ethiopia","ETH","All Categories",13.5,7.5,7.5,6.5,4.5,12,20,11.5,7,0,90
2022,"Eastern Africa","AFE","Kenya","KEN","Population & vital statistics",1,0.5,0.5,0.5,0.5,0,1,0,0.5,0,4.5
2022,"Eastern Africa","AFE","Kenya","KEN","Education facilities",0.5,0.5,0.5,0,0,0,1,0,0.5,0,3
2022,"Eastern Africa","AFE","Kenya","KEN","Education outcomes",0.5,0.5,0.5,0,0,0.5,1,0.5,0.5,0,4
2022,"Eastern Africa","AFE","Kenya","KEN","Health facilities",1,1,1,0.5,0,0,1,0,0.5,0,5
2022,"Eastern Africa","AFE","Kenya","KEN","Health outcomes",0.5,0.5,0.5,0.5,0,0,1,0,0.5,0,3.5
2022,"Eastern Africa","AFE","Kenya","KEN","Reproductive health",1,0,0,0,0,0,1,0.5,1,0,3.5
2022,"Eastern Africa","AFE","Kenya","KEN","Food security & nutrition",1,0,0,0,-,0,1,0.5,1,0,3.5
2022,"Eastern Africa","AFE","Kenya","KEN","Gender statistics",1,0.5,0.5,0.5,0,0,1,0.5,0.5,0,4.5
2022,"Eastern Africa","AFE","Kenya","KEN","Crime & justice",1,1,1,1,1,0,1,0.5,0.5,0,7
2022,"Eastern Africa","AFE","Kenya","KEN","Poverty & income",0.5,0.5,0,0,0,0,1,0.5,0.5,0,3
2022,"Eastern Africa","AFE","Kenya","KEN","National accounts",0.5,0.5,0.5,0,-,0,1,0,0.5,0,3.5
2022,"Eastern Africa","AFE","Kenya","KEN","Labor",0.5,0.5,0.5,0,0,0,1,0,0.5,0,3
2022,"Eastern Africa","AFE","Kenya","KEN","Price indexes",0.5,0.5,0.5,0,-,0,1,0,0.5,0,3.5
2022,"Eastern Africa","AFE","Kenya","KEN","Government finance",1,1,1,0.5,-,0,1,0,0.5,0,5.5
2022,"Eastern Africa","AFE","Kenya","KEN","Money & banking",1,1,1,-,-,0,1,0,0.5,0,5.5
2022,"Eastern Africa","AFE","Kenya","KEN","International trade",0.5,0.5,0.5,-,-,0,1,0,0.5,0,4
2022,"Eastern Africa","AFE","Kenya","KEN","Balance of payments",1,1,1,-,-,0,1,0,0.5,0,5.5
2022,"Eastern Africa","AFE","Kenya","KEN","Agriculture and land use",0.5,0.5,0.5,0.5,0,0.5,1,0.5,0.5,0,4.5
2022,"Eastern Africa","AFE","Kenya","KEN","Resource use",1,1,1,0.5,-,0,1,0,0.5,0,5
2022,"Eastern Africa","AFE","Kenya","KEN","Energy",1,1,1,-,-,0,1,0,0.5,0,5.5
2022,"Eastern Africa","AFE","Kenya","KEN","Pollution",0.5,0.5,0.5,0,-,1,1,0.5,0.5,0,4.5
2022,"Eastern Africa","AFE","Kenya","KEN","Built environment",1,0.5,0,1,1,0,1,0.5,0.5,0,5.5
2022,"Eastern Africa","AFE","Kenya","KEN","All Categories",17,13.5,12.5,7.5,6,2,22,4.5,12,0,97
2022,"Eastern Africa","AFE","Madagascar","MDG","Population & vital statistics",1,0.5,0,0.5,0,0,1,0.5,0.5,0,4
2022,"Eastern Africa","AFE","Madagascar","MDG","Education facilities",0.5,0,0.5,0.5,0.5,1,1,0,0.5,0,4.5
2022,"Eastern Africa","AFE","Madagascar","MDG","Education outcomes",1,0.5,0.5,0.5,0.5,0.5,1,0,0.5,0,5
2022,"Eastern Africa","AFE","Madagascar","MDG","Health facilities",0.5,0,0.5,0,0,0,1,0,0.5,0,2.5
2022,"Eastern Africa","AFE","Madagascar","MDG","Health outcomes",0.5,0.5,0.5,0.5,0,0,1,0,0.5,0,3.5
2022,"Eastern Africa","AFE","Madagascar","MDG","Reproductive health",1,0.5,0.5,0.5,0,0,1,0.5,0.5,0,4.5
2022,"Eastern Africa","AFE","Madagascar","MDG","Food security & nutrition",1,0.5,0.5,0.5,-,0,1,0,0.5,0,4.5
2022,"Eastern Africa","AFE","Madagascar","MDG","Gender statistics",0.5,0.5,0,0.5,0,0,1,0.5,1,0,4
2022,"Eastern Africa","AFE","Madagascar","MDG","Crime & justice",0,0,0,0,0,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Madagascar","MDG","Poverty & income",0,0,0,0,0,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Madagascar","MDG","National accounts",0.5,0.5,0.5,0,-,0.5,1,0.5,0.5,0,4
2022,"Eastern Africa","AFE","Madagascar","MDG","Labor",1,0.5,0,0.5,0,0,1,0.5,1,0,4.5
2022,"Eastern Africa","AFE","Madagascar","MDG","Price indexes",0.5,0.5,0.5,0,-,0.5,1,0.5,0.5,0,4.5
2022,"Eastern Africa","AFE","Madagascar","MDG","Government finance",1,1,1,0,-,0,1,0,1,0,5.5
2022,"Eastern Africa","AFE","Madagascar","MDG","Money & banking",1,1,1,-,-,0,1,0,1,0,6
2022,"Eastern Africa","AFE","Madagascar","MDG","International trade",1,1,1,-,-,0,1,0.5,1,0,6.5
2022,"Eastern Africa","AFE","Madagascar","MDG","Balance of payments",0,0,0,-,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Madagascar","MDG","Agriculture and land use",0.5,0,0.5,0,0,0,1,0.5,0.5,0,3
2022,"Eastern Africa","AFE","Madagascar","MDG","Resource use",0.5,0.5,0.5,0,-,0,1,0.5,0.5,0,4
2022,"Eastern Africa","AFE","Madagascar","MDG","Energy",0,0,0,-,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Madagascar","MDG","Pollution",0,0,0,0,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Madagascar","MDG","Built environment",0.5,0.5,0,0.5,0,0,1,0.5,0.5,0,3.5
2022,"Eastern Africa","AFE","Madagascar","MDG","All Categories",12.5,8.5,8,5.5,4,2.5,17,5,11,0,74
2022,"Eastern Africa","AFE","Malawi","MWI","Population & vital statistics",0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,5.5
2022,"Eastern Africa","AFE","Malawi","MWI","Education facilities",0.5,0.5,0.5,0,0,0,1,0.5,0.5,0.5,4
2022,"Eastern Africa","AFE","Malawi","MWI","Education outcomes",0.5,0.5,0.5,0,0,0,1,0,0.5,0.5,3.5
2022,"Eastern Africa","AFE","Malawi","MWI","Health facilities",0,0,0,0,0,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Malawi","MWI","Health outcomes",0.5,0.5,0.5,0.5,0.5,0,1,0,0.5,0.5,4.5
2022,"Eastern Africa","AFE","Malawi","MWI","Reproductive health",1,0.5,0.5,0.5,0.5,0,1,0.5,0.5,0.5,5.5
2022,"Eastern Africa","AFE","Malawi","MWI","Food security & nutrition",1,0.5,0,0.5,-,0,1,0,0.5,0.5,4.5
2022,"Eastern Africa","AFE","Malawi","MWI","Gender statistics",0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5,0.5,5
2022,"Eastern Africa","AFE","Malawi","MWI","Crime & justice",0,0,0,0,0,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Malawi","MWI","Poverty & income",1,0.5,0,1,1,0,1,0.5,0.5,0.5,6
2022,"Eastern Africa","AFE","Malawi","MWI","National accounts",0.5,0.5,0.5,0,-,0,1,0,0.5,0.5,3.5
2022,"Eastern Africa","AFE","Malawi","MWI","Labor",1,0.5,0,0.5,0.5,0,1,0,0.5,0.5,4.5
2022,"Eastern Africa","AFE","Malawi","MWI","Price indexes",1,0.5,1,0.5,-,0.5,1,0.5,0.5,0.5,6.5
2022,"Eastern Africa","AFE","Malawi","MWI","Government finance",1,1,0.5,0,-,0,1,0.5,0.5,0.5,5.5
2022,"Eastern Africa","AFE","Malawi","MWI","Money & banking",0.5,0.5,0.5,-,-,0,1,0,0.5,0.5,3.5
2022,"Eastern Africa","AFE","Malawi","MWI","International trade",0.5,0,0.5,-,-,0,1,0,0.5,0.5,3
2022,"Eastern Africa","AFE","Malawi","MWI","Balance of payments",1,1,1,-,-,0,1,0,0.5,0.5,6
2022,"Eastern Africa","AFE","Malawi","MWI","Agriculture and land use",0.5,0.5,0.5,0,0,0,1,0,0.5,0.5,3.5
2022,"Eastern Africa","AFE","Malawi","MWI","Resource use",0.5,0,0.5,0,-,0,1,0.5,0.5,0.5,4
2022,"Eastern Africa","AFE","Malawi","MWI","Energy",0,0,0,-,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Malawi","MWI","Pollution",0,0,0,0,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Malawi","MWI","Built environment",1,0.5,0.5,1,0.5,0,1,0,0.5,0.5,5.5
2022,"Eastern Africa","AFE","Malawi","MWI","All Categories",13,9,8,6,6.5,1.5,18,4,9,9,84
2022,"Eastern Africa","AFE","Mauritius","MUS","Population & vital statistics",0.5,0.5,0.5,0,0,1,1,0.5,0.5,0.5,5
2022,"Eastern Africa","AFE","Mauritius","MUS","Education facilities",0.5,0.5,0.5,0,0,1,1,0,0.5,0.5,4.5
2022,"Eastern Africa","AFE","Mauritius","MUS","Education outcomes",1,1,1,0,0,1,1,0.5,0.5,0.5,6.5
2022,"Eastern Africa","AFE","Mauritius","MUS","Health facilities",1,0.5,0.5,0,0,0.5,1,0.5,0.5,0.5,5
2022,"Eastern Africa","AFE","Mauritius","MUS","Health outcomes",0.5,0.5,0.5,0,0,0,1,0.5,0.5,0,3.5
2022,"Eastern Africa","AFE","Mauritius","MUS","Reproductive health",0.5,0.5,0.5,0,0,0.5,1,0.5,0.5,0.5,4.5
2022,"Eastern Africa","AFE","Mauritius","MUS","Food security & nutrition",0.5,0,0,0,-,0,1,0.5,0.5,0,3
2022,"Eastern Africa","AFE","Mauritius","MUS","Gender statistics",1,0.5,0.5,0,0,1,0.5,0.5,0.5,0.5,5
2022,"Eastern Africa","AFE","Mauritius","MUS","Crime & justice",0.5,0.5,0.5,0,0,1,0.5,0.5,0.5,0.5,4.5
2022,"Eastern Africa","AFE","Mauritius","MUS","Poverty & income",1,0.5,0,0,0,0,1,0.5,0.5,0.5,4
2022,"Eastern Africa","AFE","Mauritius","MUS","National accounts",0.5,0.5,0.5,0,-,1,0.5,0.5,1,0.5,5.5
2022,"Eastern Africa","AFE","Mauritius","MUS","Labor",1,1,1,0,0,1,1,0.5,1,0.5,7
2022,"Eastern Africa","AFE","Mauritius","MUS","Price indexes",1,1,1,0,-,1,0.5,0.5,0.5,0.5,6.5
2022,"Eastern Africa","AFE","Mauritius","MUS","Government finance",1,1,1,0,-,1,0,0.5,0.5,0.5,6
2022,"Eastern Africa","AFE","Mauritius","MUS","Money & banking",1,0.5,0.5,-,-,0.5,0.5,0.5,0.5,0.5,5.5
2022,"Eastern Africa","AFE","Mauritius","MUS","International trade",1,1,1,-,-,1,0,0.5,1,0.5,7
2022,"Eastern Africa","AFE","Mauritius","MUS","Balance of payments",1,1,1,-,-,1,0,0.5,0.5,0.5,6.5
2022,"Eastern Africa","AFE","Mauritius","MUS","Agriculture and land use",0.5,0.5,0.5,0.5,0,1,1,0.5,0.5,0.5,5.5
2022,"Eastern Africa","AFE","Mauritius","MUS","Resource use",1,1,0.5,0,-,1,0.5,0.5,1,0.5,6
2022,"Eastern Africa","AFE","Mauritius","MUS","Energy",0.5,0.5,0.5,-,-,1,1,0.5,0.5,0.5,5
2022,"Eastern Africa","AFE","Mauritius","MUS","Pollution",0.5,0.5,0.5,0,-,1,1,0.5,0.5,0.5,5
2022,"Eastern Africa","AFE","Mauritius","MUS","Built environment",0,0,0,0,0,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Mauritius","MUS","All Categories",16,13.5,12.5,2,3.5,16.5,15,10,12.5,9.5,111
2022,"Eastern Africa","AFE","Mozambique","MOZ","Population & vital statistics",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","Education facilities",0.5,0.5,0.5,0.5,0,0,1,0,0.5,0,3.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","Education outcomes",0.5,0.5,0.5,0.5,0,0,1,0.5,0.5,0,4
2022,"Eastern Africa","AFE","Mozambique","MOZ","Health facilities",0.5,0.5,0.5,0.5,0,0,1,0,0.5,0,3.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","Health outcomes",0.5,0.5,0.5,0,0,0,1,0,0.5,0,3
2022,"Eastern Africa","AFE","Mozambique","MOZ","Reproductive health",1,0.5,0.5,0.5,0,0,1,0.5,0.5,0,4.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","Food security & nutrition",0.5,0,0,0.5,-,0,1,0.5,0.5,0,3.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","Gender statistics",0.5,0.5,0.5,0.5,0,0,1,0,0.5,0,3.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","Crime & justice",1,1,1,1,0,0,1,0,0.5,0,5.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","Poverty & income",0.5,0,0,0.5,0,0,1,0.5,0.5,0,3
2022,"Eastern Africa","AFE","Mozambique","MOZ","National accounts",0.5,0.5,0.5,0,-,0,1,0.5,0.5,0,3.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","Labor",1,0.5,0.5,1,0,0,1,0,0.5,0,4.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","Price indexes",0.5,0.5,0.5,0.5,-,1,0.5,0,0,0,3.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","Government finance",1,0.5,1,0,-,0,1,0,0.5,0,4.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","Money & banking",1,1,1,-,-,0,1,0,0.5,0,5.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","International trade",0.5,0.5,0.5,-,-,0,1,0,0.5,0,4
2022,"Eastern Africa","AFE","Mozambique","MOZ","Balance of payments",1,1,1,-,-,0,1,0,0.5,0,5.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","Agriculture and land use",0.5,0.5,0.5,0,0,0,1,0,0.5,0,3
2022,"Eastern Africa","AFE","Mozambique","MOZ","Resource use",1,1,1,0,-,0,1,0,0.5,0,4.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","Energy",0,0,0,-,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Mozambique","MOZ","Pollution",0,0,0,0,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Mozambique","MOZ","Built environment",1,0.5,0,1,0,0,1,0.5,0.5,0,4.5
2022,"Eastern Africa","AFE","Mozambique","MOZ","All Categories",14.5,11,11,9,3,1.5,19,3.5,9.5,0.5,82.5
2022,"Eastern Africa","AFE","Rwanda","RWA","Population & vital statistics",1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,6
2022,"Eastern Africa","AFE","Rwanda","RWA","Education facilities",1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5.5
2022,"Eastern Africa","AFE","Rwanda","RWA","Education outcomes",0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,6
2022,"Eastern Africa","AFE","Rwanda","RWA","Health facilities",1,0.5,0.5,0,0,0.5,0.5,0.5,0.5,1,5
2022,"Eastern Africa","AFE","Rwanda","RWA","Health outcomes",0.5,0.5,0,0.5,0,0,1,0,0.5,1,4
2022,"Eastern Africa","AFE","Rwanda","RWA","Reproductive health",1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,6.5
2022,"Eastern Africa","AFE","Rwanda","RWA","Food security & nutrition",1,0.5,0,0.5,-,0,1,0,1,1,5.5
2022,"Eastern Africa","AFE","Rwanda","RWA","Gender statistics",0.5,0.5,0.5,0,0,0.5,1,0,0.5,1,4.5
2022,"Eastern Africa","AFE","Rwanda","RWA","Crime & justice",0.5,0,0.5,0.5,0,0,1,0.5,0.5,1,4.5
2022,"Eastern Africa","AFE","Rwanda","RWA","Poverty & income",1,0.5,0,1,1,0.5,1,0,0.5,1,6.5
2022,"Eastern Africa","AFE","Rwanda","RWA","National accounts",1,1,1,0,-,0.5,0.5,0.5,0.5,0.5,5.5
2022,"Eastern Africa","AFE","Rwanda","RWA","Labor",1,0.5,0.5,0,0,0.5,1,0,0.5,1,5
2022,"Eastern Africa","AFE","Rwanda","RWA","Price indexes",1,1,1,0.5,-,1,1,0.5,0.5,1,8
2022,"Eastern Africa","AFE","Rwanda","RWA","Government finance",1,0.5,1,0,-,1,1,0.5,0.5,1,7
2022,"Eastern Africa","AFE","Rwanda","RWA","Money & banking",1,1,1,-,-,0.5,1,0.5,0.5,0.5,7
2022,"Eastern Africa","AFE","Rwanda","RWA","International trade",1,1,1,-,-,0.5,1,0.5,0.5,0.5,7
2022,"Eastern Africa","AFE","Rwanda","RWA","Balance of payments",1,1,1,-,-,0.5,1,0.5,0.5,0.5,7
2022,"Eastern Africa","AFE","Rwanda","RWA","Agriculture and land use",0.5,0.5,0.5,0,0,0.5,1,0.5,0.5,1,5
2022,"Eastern Africa","AFE","Rwanda","RWA","Resource use",1,0.5,0.5,0,-,0.5,1,0,0.5,1,5.5
2022,"Eastern Africa","AFE","Rwanda","RWA","Energy",1,0.5,0,-,-,0.5,1,0.5,0.5,1,6
2022,"Eastern Africa","AFE","Rwanda","RWA","Pollution",0.5,0,0.5,0,-,1,1,0,0.5,1,4.5
2022,"Eastern Africa","AFE","Rwanda","RWA","Built environment",1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,6
2022,"Eastern Africa","AFE","Rwanda","RWA","All Categories",19,12.5,12,7.5,7.5,11.5,20.5,7.5,11.5,18,127.5
2022,"Eastern Africa","AFE","Seychelles","SYC","Population & vital statistics",1,0.5,0.5,0,-,0,1,0.5,1,0,5
2022,"Eastern Africa","AFE","Seychelles","SYC","Education facilities",0.5,0.5,0.5,0,-,0,1,0,0.5,0,3
2022,"Eastern Africa","AFE","Seychelles","SYC","Education outcomes",0.5,0.5,0.5,0,-,0,1,0,0.5,0,3.5
2022,"Eastern Africa","AFE","Seychelles","SYC","Health facilities",0.5,0.5,0.5,0,-,0,1,0,0.5,0,3
2022,"Eastern Africa","AFE","Seychelles","SYC","Health outcomes",0,0,0,0,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Seychelles","SYC","Reproductive health",0.5,0.5,0.5,0,-,0,1,0.5,0.5,0,4
2022,"Eastern Africa","AFE","Seychelles","SYC","Food security & nutrition",0,0,0,-,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Seychelles","SYC","Gender statistics",0.5,0.5,0.5,0,-,0,1,0,0.5,0,3.5
2022,"Eastern Africa","AFE","Seychelles","SYC","Crime & justice",0.5,0.5,0.5,0,-,0,1,0,0.5,0,3
2022,"Eastern Africa","AFE","Seychelles","SYC","Poverty & income",1,0.5,0,0,-,0,1,0.5,0.5,0,4
2022,"Eastern Africa","AFE","Seychelles","SYC","National accounts",1,1,1,-,-,0,1,0,0.5,0,4.5
2022,"Eastern Africa","AFE","Seychelles","SYC","Labor",1,1,1,0,-,0,1,0,0.5,0,5
2022,"Eastern Africa","AFE","Seychelles","SYC","Price indexes",1,0.5,1,-,-,1,1,0.5,0.5,0,6.5
