STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,DD_DIM,DD_ID,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,CRITERIA,DECIMALS,CONF_STATUS
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,MEX,A,PII_137,PO,_T,_T,2020,1/4,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,MEX,A,PII_137,PO,_T,_T,2023,1/4,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CHE,A,PII_137,PO,_T,_T,2020,0/4,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CHE,A,PII_137,PO,_T,_T,2023,0/4,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CZE,A,PII_138,PO,_T,_T,2020,5/5,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CZE,A,PII_138,PO,_T,_T,2023,5/5,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ISR,A,PII_138,PO,_T,_T,2020,Data not provided,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ISR,A,PII_138,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,KOR,A,PII_13,PT_SCR_POS_MAX,_T,_T,2020,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,KOR,A,PII_13,PT_SCR_POS_MAX,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,LTU,A,PII_13,PT_SCR_POS_MAX,_T,_T,2020,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,LTU,A,PII_13,PT_SCR_POS_MAX,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,PER,A,PII_13,PT_SCR_POS_MAX,_T,_T,2020,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,PER,A,PII_13,PT_SCR_POS_MAX,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,FIN,A,PII_131,PT_SCR_POS_MAX,_T,_T,2020,29,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,FIN,A,PII_131,PT_SCR_POS_MAX,_T,_T,2023,71,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,GRC,A,PII_131,PT_SCR_POS_MAX,_T,_T,2020,0,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,GRC,A,PII_131,PT_SCR_POS_MAX,_T,_T,2023,57,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,SVK,A,PII_131,PT_SCR_POS_MAX,_T,_T,2020,86,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,SVK,A,PII_131,PT_SCR_POS_MAX,_T,_T,2023,86,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CAN,A,PII_132,PT_SCR_POS_MAX,_T,_T,2020,0,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CAN,A,PII_132,PT_SCR_POS_MAX,_T,_T,2023,0,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CRI,A,PII_132,PT_SCR_POS_MAX,_T,_T,2020,67,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CRI,A,PII_132,PT_SCR_POS_MAX,_T,_T,2023,67,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ESP,A,PII_133,PT_SCR_POS_MAX,_T,_T,2020,0,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ESP,A,PII_133,PT_SCR_POS_MAX,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,COL,A,PII_134,PT_SCR_POS_MAX,_T,_T,2020,29,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,COL,A,PII_134,PT_SCR_POS_MAX,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,FRA,A,PII_134,PT_SCR_POS_MAX,_T,_T,2020,43,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,FRA,A,PII_134,PT_SCR_POS_MAX,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,TUR,A,PII_134,PT_SCR_POS_MAX,_T,_T,2020,14,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,TUR,A,PII_134,PT_SCR_POS_MAX,_T,_T,2023,14,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,LVA,A,PII_135,PT_SCR_POS_MAX,_T,_T,2020,87,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,LVA,A,PII_135,PT_SCR_POS_MAX,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,LUX,A,PII_135,PT_SCR_POS_MAX,_T,_T,2020,Data not provided,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,LUX,A,PII_135,PT_SCR_POS_MAX,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,NOR,A,PII_135,PT_SCR_POS_MAX,_T,_T,2020,0,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,NOR,A,PII_135,PT_SCR_POS_MAX,_T,_T,2023,0,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,AUT,A,PII_136,PT_SCR_POS_MAX,_T,_T,2020,Not tracking,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,AUT,A,PII_136,PT_SCR_POS_MAX,_T,_T,2023,Not available,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CHL,A,PII_136,PT_SCR_POS_MAX,_T,_T,2020,Not available,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CHL,A,PII_136,PT_SCR_POS_MAX,_T,_T,2023,0,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,IRL,A,PII_136,PT_SCR_POS_MAX,_T,_T,2020,Data not provided,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,IRL,A,PII_136,PT_SCR_POS_MAX,_T,_T,2023,Not tracking,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,MEX,A,PII_136,PT_SCR_POS_MAX,_T,_T,2020,40,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,MEX,A,PII_136,PT_SCR_POS_MAX,_T,_T,2023,Not available,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,NLD,A,PII_136,PT_SCR_POS_MAX,_T,_T,2020,Not tracking,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,NLD,A,PII_136,PT_SCR_POS_MAX,_T,_T,2023,Not tracking,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CHE,A,PII_136,PT_SCR_POS_MAX,_T,_T,2020,Not available,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CHE,A,PII_136,PT_SCR_POS_MAX,_T,_T,2023,0,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,USA,A,PII_136,PT_SCR_POS_MAX,_T,_T,2020,Not tracking,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,USA,A,PII_136,PT_SCR_POS_MAX,_T,_T,2023,0,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ISR,A,PII_137,PT_SCR_POS_MAX,_T,_T,2020,Data not provided,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ISR,A,PII_137,PT_SCR_POS_MAX,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,KOR,A,PII_137,PT_SCR_POS_MAX,_T,_T,2020,0,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,KOR,A,PII_137,PT_SCR_POS_MAX,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,AUS,A,PII_138,PT_SCR_POS_MAX,_T,_T,2020,0,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,AUS,A,PII_138,PT_SCR_POS_MAX,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,SWE,A,PII_138,PT_SCR_POS_MAX,_T,_T,2020,0,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,SWE,A,PII_138,PT_SCR_POS_MAX,_T,_T,2023,0,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,AUS,A,PII_310,PO,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,DEU,A,PII_310,PO,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,SWE,A,PII_310,PO,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CRI,A,PII_3101,PO,_T,_T,2023,10/10,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,FRA,A,PII_31010,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,HUN,A,PII_31010,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ISL,A,PII_31010,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ITA,A,PII_31010,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,LVA,A,PII_31010,PO,_T,_T,2023,100/100,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,BRA,A,PII_31011,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,IRL,A,PII_31011,PO,_T,_T,2023,80/100,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,NZL,A,PII_31011,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,POL,A,PII_31011,PO,_T,_T,2023,Not tracking,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,SVN,A,PII_31011,PO,_T,_T,2023,77/100,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,USA,A,PII_31011,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,BEL,A,PII_3102,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,FRA,A,PII_3103,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ISL,A,PII_3103,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ARG,A,PII_3104,PO,_T,_T,2023,11/11,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,BRA,A,PII_3104,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,DNK,A,PII_3104,PO,_T,_T,2023,0/11,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,POL,A,PII_3104,PO,_T,_T,2023,7/11,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,PRT,A,PII_3104,PO,_T,_T,2023,7/11,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,SVN,A,PII_3104,PO,_T,_T,2023,10/11,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,JPN,A,PII_3105,PO,_T,_T,2023,0/9,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,LTU,A,PII_3105,PO,_T,_T,2023,6/9,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CHE,A,PII_3105,PO,_T,_T,2023,4/9,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CZE,A,PII_3106,PO,_T,_T,2023,3/12,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,FIN,A,PII_3106,PO,_T,_T,2023,1/12,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ISR,A,PII_3106,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,SVK,A,PII_3106,PO,_T,_T,2023,5/12,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,GBR,A,PII_3106,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,AUS,A,PII_3107,PO,_T,_T,2023,3/11,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,EST,A,PII_3107,PO,_T,_T,2023,0/11,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,DEU,A,PII_3107,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,SWE,A,PII_3107,PO,_T,_T,2023,2/11,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,BEL,A,PII_3109,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CAN,A,PII_310,PT_SCR_POS_MAX,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CRI,A,PII_310,PT_SCR_POS_MAX,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ESP,A,PII_3101,PT_SCR_POS_MAX,_T,_T,2023,100,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ARG,A,PII_31010,PT_SCR_POS_MAX,_T,_T,2023,56,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,BRA,A,PII_31010,PT_SCR_POS_MAX,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,DNK,A,PII_31010,PT_SCR_POS_MAX,_T,_T,2023,Not tracking,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,NZL,A,PII_31010,PT_SCR_POS_MAX,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,POL,A,PII_31010,PT_SCR_POS_MAX,_T,_T,2023,98,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,PRT,A,PII_31010,PT_SCR_POS_MAX,_T,_T,2023,84,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,SVN,A,PII_31010,PT_SCR_POS_MAX,_T,_T,2023,98,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,JPN,A,PII_31011,PT_SCR_POS_MAX,_T,_T,2023,Not tracking,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,LTU,A,PII_31011,PT_SCR_POS_MAX,_T,_T,2023,95,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,PER,A,PII_31011,PT_SCR_POS_MAX,_T,_T,2023,Not tracking,A,0,_T,0,
