STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,MEASURE,UNIT_MEASURE,SECTOR,EDITION,REGULATORY_CATEGORY,CATEGORY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,PRICE_BASE,BASE_PER
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUT,EPE,IX,_Z,2023,P_O,REG,2017,0.44,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUT,EPE,IX,_Z,2023,P_SA,REG,2017,0.27,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUT,EPE,IX,_Z,2023,P_TR,REG,2021,0.37,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUT,EPE,IX,_Z,2023,S_M,REG,2017,0.78,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUT,EPE,IX,_Z,2023,S_O,REG,2017,0.44,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUT,EPE,IX,_Z,2023,S_SA,REG,2021,0.27,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUT,EPE,IX,_Z,2023,S_TR,REG,2017,0.43,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,BEL,EPE,IX,_Z,2023,P,REG,2017,1.44,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,BEL,EPE,IX,_Z,2023,S,REG,2017,1.44,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,BEL,EPE,IX,_Z,2023,P_M,REG,2021,0.46,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,BEL,EPE,IX,_Z,2023,P_O,REG,2017,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,BEL,EPE,IX,_Z,2023,P_SA,REG,2017,0.5,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,BEL,EPE,IX,_Z,2023,P_TR,REG,2017,0.43,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,BEL,EPE,IX,_Z,2023,S_M,REG,2017,0.46,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,BEL,EPE,IX,_Z,2023,S_O,REG,2017,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,BEL,EPE,IX,_Z,2023,S_SA,REG,2017,0.5,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,BEL,EPE,IX,_Z,2023,S_TR,REG,2017,0.43,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CAN,EPE,IX,_Z,2023,P,REG,2021,1.69,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CAN,EPE,IX,_Z,2023,S,REG,2017,1.83,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CAN,EPE,IX,_Z,2023,P_M,REG,2017,0.32,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CAN,EPE,IX,_Z,2023,P_O,REG,2017,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CAN,EPE,IX,_Z,2023,P_SA,REG,2017,0.52,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CAN,EPE,IX,_Z,2023,P_TR,REG,2017,0.39,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CAN,EPE,IX,_Z,2023,S_M,REG,2017,0.62,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CAN,EPE,IX,_Z,2023,S_O,REG,2017,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CAN,EPE,IX,_Z,2023,S_SA,REG,2017,0.72,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CAN,EPE,IX,_Z,2023,S_TR,REG,2017,0.45,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CHL,EPE,IX,_Z,2023,P,REG,2017,0.84,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CHL,EPE,IX,_Z,2023,S,REG,2021,0.52,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CHL,EPE,IX,_Z,2023,P_M,REG,2017,0.34,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CHL,EPE,IX,_Z,2023,P_O,REG,2017,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CHL,EPE,IX,_Z,2023,P_SA,REG,2017,0.03,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CHL,EPE,IX,_Z,2023,P_TR,REG,2017,0.43,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CHL,EPE,IX,_Z,2023,S_M,REG,2021,0,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CHL,EPE,IX,_Z,2023,S_O,REG,2021,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CHL,EPE,IX,_Z,2023,S_SA,REG,2021,0.08,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CHL,EPE,IX,_Z,2023,S_TR,REG,2021,0.39,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,COL,EPE,IX,_Z,2023,P,REG,2021,0.35,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,COL,EPE,IX,_Z,2023,S,REG,2021,0.54,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,COL,EPE,IX,_Z,2023,P_M,REG,2021,0,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,COL,EPE,IX,_Z,2023,P_O,REG,2021,0,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,COL,EPE,IX,_Z,2023,P_SA,REG,2021,0.1,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,COL,EPE,IX,_Z,2023,P_TR,REG,2021,0.25,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,COL,EPE,IX,_Z,2023,S_M,REG,2021,0.09,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,COL,EPE,IX,_Z,2023,S_O,REG,2021,0,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,COL,EPE,IX,_Z,2023,S_SA,REG,2021,0.2,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,COL,EPE,IX,_Z,2023,S_TR,REG,2021,0.25,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CRI,EPE,IX,_Z,2023,P,REG,2021,0.7,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CRI,EPE,IX,_Z,2023,S,REG,2021,0.93,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CRI,EPE,IX,_Z,2023,P_M,REG,2021,0,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CRI,EPE,IX,_Z,2023,P_O,REG,2021,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CRI,EPE,IX,_Z,2023,P_SA,REG,2021,0.28,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CRI,EPE,IX,_Z,2023,P_TR,REG,2021,0.38,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CRI,EPE,IX,_Z,2023,S_M,REG,2021,0.18,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CRI,EPE,IX,_Z,2023,S_O,REG,2021,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CRI,EPE,IX,_Z,2023,S_SA,REG,2021,0.34,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CRI,EPE,IX,_Z,2023,S_TR,REG,2021,0.38,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CZE,EPE,IX,_Z,2023,P,REG,2017,0.61,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CZE,EPE,IX,_Z,2023,S,REG,2017,0.4,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CZE,EPE,IX,_Z,2023,P_M,REG,2017,0.18,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CZE,EPE,IX,_Z,2023,P_O,REG,2014,0.08,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CZE,EPE,IX,_Z,2023,P_SA,REG,2017,0.21,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CZE,EPE,IX,_Z,2023,P_TR,REG,2017,0.14,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CZE,EPE,IX,_Z,2023,S_M,REG,2017,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CZE,EPE,IX,_Z,2023,S_O,REG,2017,0.08,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CZE,EPE,IX,_Z,2023,S_SA,REG,2017,0.13,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,CZE,EPE,IX,_Z,2023,S_TR,REG,2017,0.14,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DNK,EPE,IX,_Z,2023,P,REG,2017,1.48,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DNK,EPE,IX,_Z,2023,S,REG,2017,1.48,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DNK,EPE,IX,_Z,2023,P_M,REG,2017,0.38,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DNK,EPE,IX,_Z,2023,P_O,REG,2017,0.08,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DNK,EPE,IX,_Z,2023,P_SA,REG,2017,0.56,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DNK,EPE,IX,_Z,2023,P_TR,REG,2017,0.45,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DNK,EPE,IX,_Z,2023,S_M,REG,2017,0.38,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DNK,EPE,IX,_Z,2023,S_O,REG,2017,0.08,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DNK,EPE,IX,_Z,2023,S_SA,REG,2017,0.56,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DNK,EPE,IX,_Z,2023,S_TR,REG,2017,0.45,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,EST,EPE,IX,_Z,2023,P,REG,2017,1.11,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,EST,EPE,IX,_Z,2023,S,REG,2017,0.9,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,EST,EPE,IX,_Z,2023,P_M,REG,2021,0.34,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,EST,EPE,IX,_Z,2023,P_O,REG,2017,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,EST,EPE,IX,_Z,2023,P_SA,REG,2017,0.32,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,EST,EPE,IX,_Z,2023,P_TR,REG,2017,0.41,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,EST,EPE,IX,_Z,2023,S_M,REG,2017,0.2,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,EST,EPE,IX,_Z,2023,S_O,REG,2017,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,EST,EPE,IX,_Z,2023,S_SA,REG,2017,0.25,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,EST,EPE,IX,_Z,2023,S_TR,REG,2017,0.41,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FIN,EPE,IX,_Z,2023,P,REG,2017,0.37,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FIN,EPE,IX,_Z,2023,S,REG,2017,0.26,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FIN,EPE,IX,_Z,2023,P_M,REG,2017,0.09,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FIN,EPE,IX,_Z,2023,P_O,REG,2021,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FIN,EPE,IX,_Z,2023,P_SA,REG,2017,0.24,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FIN,EPE,IX,_Z,2023,P_TR,REG,2017,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FIN,EPE,IX,_Z,2023,S_M,REG,2021,0,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FIN,EPE,IX,_Z,2023,S_O,REG,2021,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FIN,EPE,IX,_Z,2023,S_SA,REG,2017,0.22,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FIN,EPE,IX,_Z,2023,S_TR,REG,2017,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FRA,EPE,IX,_Z,2023,P,REG,2017,1.56,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FRA,EPE,IX,_Z,2023,S,REG,2017,1.43,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FRA,EPE,IX,_Z,2023,P_M,REG,2017,0.44,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FRA,EPE,IX,_Z,2023,P_O,REG,2014,0.13,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FRA,EPE,IX,_Z,2023,P_SA,REG,2021,0.56,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FRA,EPE,IX,_Z,2023,P_TR,REG,2021,0.43,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FRA,EPE,IX,_Z,2023,S_M,REG,2017,0.35,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FRA,EPE,IX,_Z,2023,S_O,REG,2017,0.13,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FRA,EPE,IX,_Z,2023,S_SA,REG,2017,0.56,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,FRA,EPE,IX,_Z,2023,S_TR,REG,2017,0.39,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DEU,EPE,IX,_Z,2023,P,REG,2017,2.32,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DEU,EPE,IX,_Z,2023,S,REG,2017,2.32,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DEU,EPE,IX,_Z,2023,P_M,REG,2021,0.71,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DEU,EPE,IX,_Z,2023,P_O,REG,2017,0.17,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DEU,EPE,IX,_Z,2023,P_SA,REG,2021,0.73,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DEU,EPE,IX,_Z,2023,P_TR,REG,2017,0.63,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DEU,EPE,IX,_Z,2023,S_M,REG,2021,0.71,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DEU,EPE,IX,_Z,2023,S_O,REG,2017,0.17,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DEU,EPE,IX,_Z,2023,S_SA,REG,2017,0.81,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,DEU,EPE,IX,_Z,2023,S_TR,REG,2017,0.63,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,GRC,EPE,IX,_Z,2023,P,REG,2021,0.37,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,GRC,EPE,IX,_Z,2023,S,REG,2017,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,GRC,EPE,IX,_Z,2023,P_M,REG,2021,0.14,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,GRC,EPE,IX,_Z,2023,P_O,REG,2017,0.04,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,GRC,EPE,IX,_Z,2023,P_SA,REG,2021,0.03,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,GRC,EPE,IX,_Z,2023,P_TR,REG,2021,0.13,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,GRC,EPE,IX,_Z,2023,S_M,REG,2021,0.14,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,GRC,EPE,IX,_Z,2023,S_O,REG,2021,0.08,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,GRC,EPE,IX,_Z,2023,S_SA,REG,2021,0.03,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,GRC,EPE,IX,_Z,2023,S_TR,REG,2021,0.13,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,HUN,EPE,IX,_Z,2023,P,REG,2017,0.54,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,HUN,EPE,IX,_Z,2023,S,REG,2017,0.52,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,HUN,EPE,IX,_Z,2023,P_M,REG,2017,0.4,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,HUN,EPE,IX,_Z,2023,P_O,REG,2021,0,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,HUN,EPE,IX,_Z,2023,P_SA,REG,2017,0.15,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,HUN,EPE,IX,_Z,2023,P_TR,REG,2021,0.06,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,HUN,EPE,IX,_Z,2023,S_M,REG,2017,0.37,A,0,_Z,
